year,month,age_group,application
2022,12,under_19,31290
2022,12,20-29,39322
2022,12,30-39,19543
2022,12,40-49,19189
2022,12,50-59,17835
2022,12,60-69,10524
2022,12,70-79,5859
2022,12,over_80,1140
2022,11,under_19,28619
2022,11,20-29,34293
2022,11,30-39,19519
2022,11,40-49,20042
2022,11,50-59,17946
2022,11,60-69,10921
2022,11,70-79,6004
2022,11,over_80,1228
2022,10,under_19,23597
2022,10,20-29,30174
2022,10,30-39,19973
2022,10,40-49,19952
2022,10,50-59,18312
2022,10,60-69,11527
2022,10,70-79,6280
2022,10,over_80,1251
2022,9,under_19,19073
2022,9,20-29,26772
2022,9,30-39,18399
2022,9,40-49,18785
2022,9,50-59,16549
2022,9,60-69,9987
2022,9,70-79,5241
2022,9,over_80,981
2022,8,under_19,27912
2022,8,20-29,26473
2022,8,30-39,17979
2022,8,40-49,18638
2022,8,50-59,16944
2022,8,60-69,8992
2022,8,70-79,4039
2022,8,over_80,800
2022,7,under_19,23790
2022,7,20-29,23100
2022,7,30-39,15819
2022,7,40-49,16399
2022,7,50-59,14643
2022,7,60-69,8577
2022,7,70-79,4354
2022,7,over_80,867
2022,6,under_19,27717
2022,6,20-29,23428
2022,6,30-39,16952
2022,6,40-49,18657
2022,6,50-59,17120
2022,6,60-69,11080
2022,6,70-79,6125
2022,6,over_80,1215
2022,5,under_19,22399
2022,5,20-29,17303
2022,5,30-39,13676
2022,5,40-49,15961
2022,5,50-59,14731
2022,5,60-69,10058
2022,5,70-79,5727
2022,5,over_80,1154
2022,4,under_19,17276
2022,4,20-29,12575
2022,4,30-39,10425
2022,4,40-49,11899
2022,4,50-59,10625
2022,4,60-69,8035
2022,4,70-79,4673
2022,4,over_80,897
2022,3,under_19,16675
2022,3,20-29,13863
2022,3,30-39,10103
2022,3,40-49,11066
2022,3,50-59,10200
2022,3,60-69,7413
2022,3,70-79,4579
2022,3,over_80,923
2022,2,under_19,8140
2022,2,20-29,8243
2022,2,30-39,6105
2022,2,40-49,6506
2022,2,50-59,5778
2022,2,60-69,4157
2022,2,70-79,2688
2022,2,over_80,490
2022,1,under_19,7794
2022,1,20-29,8049
2022,1,30-39,6846
2022,1,40-49,6810
2022,1,50-59,6035
2022,1,60-69,4142
2022,1,70-79,2460
2022,1,over_80,466
2021,12,under_19,6996
2021,12,20-29,7519
2021,12,30-39,6331
2021,12,40-49,6284
2021,12,50-59,5386
2021,12,60-69,3761
2021,12,70-79,2256
2021,12,over_80,391
2021,11,under_19,7652
2021,11,20-29,8210
2021,11,30-39,7139
2021,11,40-49,7821
2021,11,50-59,7106
2021,11,60-69,5288
2021,11,70-79,3304
2021,11,over_80,653
2021,10,under_19,6992
2021,10,20-29,7337
2021,10,30-39,6767
2021,10,40-49,7417
2021,10,50-59,6855
2021,10,60-69,5728
2021,10,70-79,3602
2021,10,over_80,665
2021,9,under_19,6047
2021,9,20-29,6599
2021,9,30-39,6012
2021,9,40-49,6569
2021,9,50-59,6241
2021,9,60-69,4918
2021,9,70-79,2951
2021,9,over_80,541
2021,8,under_19,9293
2021,8,20-29,7947
2021,8,30-39,7040
2021,8,40-49,8264
2021,8,50-59,7749
2021,8,60-69,5344
2021,8,70-79,2822
2021,8,over_80,497
2021,7,under_19,6976
2021,7,20-29,6859
2021,7,30-39,6043
2021,7,40-49,7019
2021,7,50-59,6966
2021,7,60-69,5705
2021,7,70-79,3269
2021,7,over_80,537
2021,6,under_19,6918
2021,6,20-29,7196
2021,6,30-39,6170
2021,6,40-49,7114
2021,6,50-59,7093
2021,6,60-69,5782
2021,6,70-79,3410
2021,6,over_80,538
2021,5,under_19,6189
2021,5,20-29,5831
2021,5,30-39,5325
2021,5,40-49,6397
2021,5,50-59,5897
2021,5,60-69,4360
2021,5,70-79,2664
2021,5,over_80,453
2021,4,under_19,8312
2021,4,20-29,6215
2021,4,30-39,5613
2021,4,40-49,6431
2021,4,50-59,6201
2021,4,60-69,5016
2021,4,70-79,3255
2021,4,over_80,540
2021,3,under_19,11851
2021,3,20-29,9869
2021,3,30-39,6896
2021,3,40-49,7994
2021,3,50-59,7768
2021,3,60-69,6179
2021,3,70-79,3900
2021,3,over_80,663
2021,2,under_19,6313
2021,2,20-29,6198
2021,2,30-39,5467
2021,2,40-49,5831
2021,2,50-59,5592
2021,2,60-69,4567
2021,2,70-79,2905
2021,2,over_80,482
2021,1,under_19,5722
2021,1,20-29,5679
2021,1,30-39,5820
2021,1,40-49,5830
2021,1,50-59,5238
2021,1,60-69,3827
2021,1,70-79,2390
2021,1,over_80,374
2020,12,under_19,5377
2020,12,20-29,5563
2020,12,30-39,5571
2020,12,40-49,6010
2020,12,50-59,5412
2020,12,60-69,3933
2020,12,70-79,2359
2020,12,over_80,414
2020,11,under_19,4884
2020,11,20-29,5296
2020,11,30-39,5343
2020,11,40-49,6220
2020,11,50-59,5818
2020,11,60-69,4675
2020,11,70-79,3075
2020,11,over_80,500
2020,10,under_19,5445
2020,10,20-29,5904
2020,10,30-39,6382
2020,10,40-49,7788
2020,10,50-59,7406
2020,10,60-69,6862
2020,10,70-79,4461
2020,10,over_80,750
2020,9,under_19,5240
2020,9,20-29,5734
2020,9,30-39,5872
2020,9,40-49,7212
2020,9,50-59,6702
2020,9,60-69,6196
2020,9,70-79,4185
2020,9,over_80,602
2020,8,under_19,9967
2020,8,20-29,7499
2020,8,30-39,7361
2020,8,40-49,9052
2020,8,50-59,8934
2020,8,60-69,6563
2020,8,70-79,3726
2020,8,over_80,540
2020,7,under_19,6692
2020,7,20-29,7179
2020,7,30-39,7187
2020,7,40-49,8636
2020,7,50-59,8858
2020,7,60-69,7446
2020,7,70-79,4640
2020,7,over_80,740
2020,6,under_19,8026
2020,6,20-29,8686
2020,6,30-39,8067
2020,6,40-49,10001
2020,6,50-59,10631
2020,6,60-69,9121
2020,6,70-79,5819
2020,6,over_80,904
2020,5,under_19,5271
2020,5,20-29,4911
2020,5,30-39,4202
2020,5,40-49,5510
2020,5,50-59,5979
2020,5,60-69,5097
2020,5,70-79,3284
2020,5,over_80,515
2020,4,under_19,10488
2020,4,20-29,6472
2020,4,30-39,4694
2020,4,40-49,5625
2020,4,50-59,5907
2020,4,60-69,4956
2020,4,70-79,3156
2020,4,over_80,433
2020,3,under_19,53077
2020,3,20-29,29756
2020,3,30-39,19724
2020,3,40-49,20714
2020,3,50-59,19907
2020,3,60-69,14414
2020,3,70-79,7861
2020,3,over_80,1294
2020,2,under_19,56196
2020,2,20-29,58717
2020,2,30-39,33229
2020,2,40-49,36340
2020,2,50-59,33364
2020,2,60-69,26428
2020,2,70-79,15182
2020,2,over_80,2561
2020,1,under_19,83361
2020,1,20-29,96782
2020,1,30-39,49081
2020,1,40-49,54145
2020,1,50-59,50534
2020,1,60-69,42526
2020,1,70-79,25581
2020,1,over_80,4188
2019,12,under_19,66522
2019,12,20-29,74460
2019,12,30-39,40385
2019,12,40-49,42290
2019,12,50-59,38059
2019,12,60-69,29879
2019,12,70-79,17774
2019,12,over_80,2950
2019,11,under_19,55389
2019,11,20-29,64658
2019,11,30-39,39690
2019,11,40-49,42088
2019,11,50-59,38659
2019,11,60-69,30710
2019,11,70-79,18260
2019,11,over_80,3051
2019,10,under_19,51708
2019,10,20-29,65626
2019,10,30-39,45331
2019,10,40-49,45703
2019,10,50-59,41159
2019,10,60-69,33027
2019,10,70-79,19476
2019,10,over_80,3271
2019,9,under_19,46577
2019,9,20-29,63931
2019,9,30-39,45254
2019,9,40-49,43386
2019,9,50-59,40270
2019,9,60-69,33425
2019,9,70-79,19755
2019,9,over_80,3285
2019,8,under_19,112435
2019,8,20-29,86349
2019,8,30-39,54522
2019,8,40-49,53806
2019,8,50-59,49988
2019,8,60-69,34388
2019,8,70-79,17382
2019,8,over_80,3046
2019,7,under_19,117333
