year,city,age_group,application
2023,Yamanashi,20-29,3973
2023,Yamanashi,30-39,1875
2023,Yamanashi,40-49,1941
2023,Yamanashi,50-59,2282
2023,Yamanashi,60-69,1841
2023,Yamanashi,70-79,1017
2023,Yamanashi,over_80,194
2023,Yamanashi,under_19,3751
2023,Yamaguchi,20-29,5147
2023,Yamaguchi,30-39,2503
2023,Yamaguchi,40-49,2775
2023,Yamaguchi,50-59,2915
2023,Yamaguchi,60-69,2306
2023,Yamaguchi,70-79,1368
2023,Yamaguchi,over_80,291
2023,Yamaguchi,under_19,4783
2023,Yamagata,20-29,2646
2023,Yamagata,30-39,1380
2023,Yamagata,40-49,1529
2023,Yamagata,50-59,1510
2023,Yamagata,60-69,1483
2023,Yamagata,70-79,822
2023,Yamagata,over_80,86
2023,Yamagata,under_19,2825
2023,Wakayama,20-29,4145
2023,Wakayama,30-39,2022
2023,Wakayama,40-49,2069
2023,Wakayama,50-59,2330
2023,Wakayama,60-69,1792
2023,Wakayama,70-79,912
2023,Wakayama,over_80,148
2023,Wakayama,under_19,3344
2023,Toyama,20-29,4273
2023,Toyama,30-39,2090
2023,Toyama,40-49,2186
2023,Toyama,50-59,2216
2023,Toyama,60-69,1636
2023,Toyama,70-79,971
2023,Toyama,over_80,179
2023,Toyama,under_19,3298
2023,Tottori,20-29,1670
2023,Tottori,30-39,846
2023,Tottori,40-49,984
2023,Tottori,50-59,995
2023,Tottori,60-69,853
2023,Tottori,70-79,422
2023,Tottori,over_80,84
2023,Tottori,under_19,2009
2023,Tokyo,20-29,173556
2023,Tokyo,30-39,117429
2023,Tokyo,40-49,102910
2023,Tokyo,50-59,83689
2023,Tokyo,60-69,41990
2023,Tokyo,70-79,21132
2023,Tokyo,over_80,5153
2023,Tokyo,under_19,162749
2023,Tokushima,20-29,2674
2023,Tokushima,30-39,1284
2023,Tokushima,40-49,1514
2023,Tokushima,50-59,1364
2023,Tokushima,60-69,1190
2023,Tokushima,70-79,619
2023,Tokushima,over_80,92
2023,Tokushima,under_19,2534
2023,Tochigi,20-29,7797
2023,Tochigi,30-39,4579
2023,Tochigi,40-49,4942
2023,Tochigi,50-59,4602
2023,Tochigi,60-69,3301
2023,Tochigi,70-79,1931
2023,Tochigi,over_80,309
2023,Tochigi,under_19,6949
2023,Shizuoka,20-29,17216
2023,Shizuoka,30-39,9885
2023,Shizuoka,40-49,10700
2023,Shizuoka,50-59,10328
2023,Shizuoka,60-69,7138
2023,Shizuoka,70-79,4383
2023,Shizuoka,over_80,826
2023,Shizuoka,under_19,17113
2023,Shimane,20-29,1800
2023,Shimane,30-39,851
2023,Shimane,40-49,903
2023,Shimane,50-59,962
2023,Shimane,60-69,903
2023,Shimane,70-79,452
2023,Shimane,over_80,100
2023,Shimane,under_19,1665
2023,Shiga,20-29,10118
2023,Shiga,30-39,4632
2023,Shiga,40-49,5279
2023,Shiga,50-59,4990
2023,Shiga,60-69,2969
2023,Shiga,70-79,1562
2023,Shiga,over_80,286
2023,Shiga,under_19,9065
2023,Saitama,20-29,50225
2023,Saitama,30-39,25830
2023,Saitama,40-49,26127
2023,Saitama,50-59,26328
2023,Saitama,60-69,15556
2023,Saitama,70-79,8719
2023,Saitama,over_80,1717
2023,Saitama,under_19,45318
2023,Saga,20-29,3804
2023,Saga,30-39,1860
2023,Saga,40-49,2031
2023,Saga,50-59,1881
2023,Saga,60-69,1767
2023,Saga,70-79,1043
2023,Saga,over_80,162
2023,Saga,under_19,3272
2023,Osaka,20-29,80352
2023,Osaka,30-39,40913
2023,Osaka,40-49,38125
2023,Osaka,50-59,37678
2023,Osaka,60-69,20292
2023,Osaka,70-79,10720
2023,Osaka,over_80,2256
2023,Osaka,under_19,66160
2023,Okinawa,20-29,8103
2023,Okinawa,30-39,5310
2023,Okinawa,40-49,5597
2023,Okinawa,50-59,4822
2023,Okinawa,60-69,3969
2023,Okinawa,70-79,2118
2023,Okinawa,over_80,511
2023,Okinawa,under_19,9862
2023,Okayama,20-29,8201
2023,Okayama,30-39,4050
2023,Okayama,40-49,4322
2023,Okayama,50-59,4135
2023,Okayama,60-69,3102
2023,Okayama,70-79,1706
2023,Okayama,over_80,327
2023,Okayama,under_19,8532
2023,Oita,20-29,4613
2023,Oita,30-39,2160
