year,month,category,application
2023,12,general_5_years,84476
2023,12,general_10_years,154772
2023,12,information_changing,4568
2023,12,diplomatic,119
2023,12,official,1585
2023,11,general_5_years,84416
2023,11,general_10_years,163550
2023,11,information_changing,4915
2023,11,diplomatic,153
2023,11,official,1631
2023,10,general_5_years,89460
2023,10,general_10_years,189713
2023,10,information_changing,5790
2023,10,diplomatic,181
2023,10,official,1612
2023,9,general_5_years,83805
2023,9,general_10_years,194293
2023,9,information_changing,6167
2023,9,diplomatic,181
2023,9,official,2340
2023,8,general_5_years,123779
2023,8,general_10_years,236361
2023,8,information_changing,7786
2023,8,diplomatic,281
2023,8,official,1953
2023,7,general_5_years,118486
2023,7,general_10_years,215040
2023,7,information_changing,6474
2023,7,diplomatic,301
2023,7,official,1738
2023,6,general_5_years,124828
2023,6,general_10_years,227310
2023,6,information_changing,7009
2023,6,diplomatic,415
2023,6,official,2615
2023,5,general_5_years,108203
2023,5,general_10_years,204617
2023,5,information_changing,6512
2023,5,diplomatic,265
2023,5,official,1533
2023,4,general_5_years,80375
2023,4,general_10_years,166854
2023,4,information_changing,5754
2023,4,diplomatic,493
2023,4,official,1617
2023,3,general_5_years,86822
2023,3,general_10_years,176224
2023,3,information_changing,6097
2023,3,diplomatic,166
2023,3,official,1139
2023,2,general_5_years,66534
2023,2,general_10_years,145806
2023,2,information_changing,4304
2023,2,diplomatic,214
2023,2,official,1421
2023,1,general_5_years,63103
2023,1,general_10_years,142815
2023,1,information_changing,4515
2023,1,diplomatic,178
2023,1,official,1577
2022,12,general_5_years,44228
2022,12,general_10_years,96773
2022,12,information_changing,3701
2022,12,diplomatic,112
2022,12,official,1104
2022,11,general_5_years,41293
2022,11,general_10_years,93720
2022,11,information_changing,3559
2022,11,diplomatic,142
2022,11,official,1714
2022,10,general_5_years,35794
2022,10,general_10_years,92043
2022,10,information_changing,3229
2022,10,diplomatic,167
2022,10,official,1289
2022,9,general_5_years,29549
2022,9,general_10_years,83075
2022,9,information_changing,3163
2022,9,diplomatic,202
2022,9,official,1779
2022,8,general_5_years,35303
2022,8,general_10_years,83164
2022,8,information_changing,3310
2022,8,diplomatic,228
2022,8,official,1723
2022,7,general_5_years,31164
2022,7,general_10_years,73635
2022,7,information_changing,2750
2022,7,diplomatic,269
2022,7,official,1584
2022,6,general_5_years,35191
2022,6,general_10_years,83981
2022,6,information_changing,3122
2022,6,diplomatic,368
2022,6,official,2222
2022,5,general_5_years,28230
2022,5,general_10_years,70459
2022,5,information_changing,2320
2022,5,diplomatic,223
2022,5,official,1397
2022,4,general_5_years,20631
2022,4,general_10_years,53929
2022,4,information_changing,1845
2022,4,diplomatic,356
2022,4,official,1527
2022,3,general_5_years,23016
2022,3,general_10_years,50080
2022,3,information_changing,1726
2022,3,diplomatic,191
2022,3,official,1077
2022,2,general_5_years,12062
2022,2,general_10_years,28878
2022,2,information_changing,1167
2022,2,diplomatic,199
2022,2,official,667
2022,1,general_5_years,11625
2022,1,general_10_years,29670
2022,1,information_changing,1307
2022,1,diplomatic,146
2022,1,official,1557
2021,12,general_5_years,10586
2021,12,general_10_years,27002
2021,12,information_changing,1336
2021,12,diplomatic,103
2021,12,official,927
2021,11,general_5_years,12189
2021,11,general_10_years,33481
2021,11,information_changing,1503
2021,11,diplomatic,157
2021,11,official,1621
2021,10,general_5_years,11339
2021,10,general_10_years,32674
2021,10,information_changing,1350
2021,10,diplomatic,220
2021,10,official,994
2021,9,general_5_years,9630
2021,9,general_10_years,28991
2021,9,information_changing,1257
2021,9,diplomatic,190
2021,9,official,942
2021,8,general_5_years,13108
2021,8,general_10_years,34231
2021,8,information_changing,1617
2021,8,diplomatic,183
2021,8,official,1093
2021,7,general_5_years,10653
2021,7,general_10_years,31464
2021,7,information_changing,1257
2021,7,diplomatic,229
2021,7,official,949
2021,6,general_5_years,10854
2021,6,general_10_years,31950
2021,6,information_changing,1417
2021,6,diplomatic,228
2021,6,official,1161
2021,5,general_5_years,9440
2021,5,general_10_years,26479
2021,5,information_changing,1197
2021,5,diplomatic,255
2021,5,official,878
2021,4,general_5_years,11760
2021,4,general_10_years,28418
2021,4,information_changing,1405
2021,4,diplomatic,318
2021,4,official,796
2021,3,general_5_years,16162
2021,3,general_10_years,37173
2021,3,information_changing,1785
2021,3,diplomatic,163
2021,3,official,473
2021,2,general_5_years,9484
2021,2,general_10_years,26566
2021,2,information_changing,1305
2021,2,diplomatic,221
2021,2,official,817
2021,1,general_5_years,8636
2021,1,general_10_years,24710
2021,1,information_changing,1534
2021,1,diplomatic,128
2021,1,official,834
2020,12,general_5_years,8580
2020,12,general_10_years,24421
2020,12,information_changing,1638
2020,12,diplomatic,89
2020,12,official,1512
2020,11,general_5_years,8119
2020,11,general_10_years,26214
2020,11,information_changing,1478
2020,11,diplomatic,119
2020,11,official,573
2020,10,general_5_years,9491
2020,10,general_10_years,33828
2020,10,information_changing,1679
2020,10,diplomatic,155
2020,10,official,697
2020,9,general_5_years,8809
2020,9,general_10_years,31285
2020,9,information_changing,1649
2020,9,diplomatic,128
2020,9,official,429
2020,8,general_5_years,13796
2020,8,general_10_years,37791
2020,8,information_changing,2055
2020,8,diplomatic,230
2020,8,official,456
2020,7,general_5_years,10628
2020,7,general_10_years,38787
2020,7,information_changing,1963
2020,7,diplomatic,359
2020,7,official,604
2020,6,general_5_years,12709
2020,6,general_10_years,46242
2020,6,information_changing,2304
2020,6,diplomatic,203
2020,6,official,873
2020,5,general_5_years,8249
2020,5,general_10_years,25164
2020,5,information_changing,1356
2020,5,diplomatic,92
2020,5,official,657
2020,4,general_5_years,14033
2020,4,general_10_years,26044
2020,4,information_changing,1654
2020,4,diplomatic,104
2020,4,official,466
2020,3,general_5_years,69334
2020,3,general_10_years,91675
2020,3,information_changing,5738
2020,3,diplomatic,170
2020,3,official,992
2020,2,general_5_years,96697
2020,2,general_10_years,159015
2020,2,information_changing,6305
2020,2,diplomatic,237
2020,2,official,1998
2020,1,general_5_years,153324
2020,1,general_10_years,244526
2020,1,information_changing,8348
2020,1,diplomatic,138
2020,1,official,2157
2019,12,general_5_years,119735
2019,12,general_10_years,184670
