year,city,month,application
2023,Hokkaido,12,5937
2023,Aomori,12,813
2023,Iwate,12,872
2023,Miyagi,12,2788
2023,Akita,12,675
2023,Yamagata,12,939
2023,Fukushima,12,1740
2023,Ibaraki,12,4058
2023,Tochigi,12,2548
2023,Gunma,12,2513
2023,Saitama,12,14126
2023,Chiba,12,13453
2023,Tokyo,12,48062
2023,Kanagawa,12,24641
2023,Niigata,12,1907
2023,Toyama,12,1477
2023,Ishikawa,12,1840
2023,Fukui,12,1145
2023,Yamanashi,12,1313
2023,Nagano,12,2971
2023,Gifu,12,3080
2023,Shizuoka,12,5457
2023,Aichi,12,16606
2023,Mie,12,2701
2023,Shiga,12,2772
2023,Kyoto,12,6352
2023,Osaka,12,21085
2023,Hyogo,12,11870
2023,Nara,12,2618
2023,Wakayama,12,1312
2023,Tottori,12,649
2023,Shimane,12,592
2023,Okayama,12,2664
2023,Hiroshima,12,4228
2023,Yamaguchi,12,1602
2023,Tokushima,12,845
2023,Kagawa,12,1266
2023,Ehime,12,1685
2023,Kochi,12,694
2023,Fukuoka,12,9875
2023,Saga,12,1081
2023,Nagasaki,12,1474
2023,Kumamoto,12,2305
2023,Oita,12,1267
2023,Miyazaki,12,1070
2023,Kagoshima,12,1587
2023,Okinawa,12,3261
2023,Hokkaido,11,6269
2023,Aomori,11,830
2023,Iwate,11,852
2023,Miyagi,11,2832
2023,Akita,11,661
2023,Yamagata,11,935
2023,Fukushima,11,1739
2023,Ibaraki,11,4184
2023,Tochigi,11,2569
2023,Gunma,11,2675
2023,Saitama,11,14255
2023,Chiba,11,13923
2023,Tokyo,11,51137
2023,Kanagawa,11,25365
2023,Niigata,11,2071
2023,Toyama,11,1322
2023,Ishikawa,11,1800
2023,Fukui,11,1085
2023,Yamanashi,11,1542
2023,Nagano,11,2873
2023,Gifu,11,3139
2023,Shizuoka,11,5636
2023,Aichi,11,16999
2023,Mie,11,2845
2023,Shiga,11,2901
2023,Kyoto,11,5860
2023,Osaka,11,22373
2023,Hyogo,11,12534
2023,Nara,11,2864
2023,Wakayama,11,1378
2023,Tottori,11,576
2023,Shimane,11,631
2023,Okayama,11,2714
2023,Hiroshima,11,4078
2023,Yamaguchi,11,1606
2023,Tokushima,11,885
2023,Kagawa,11,1279
2023,Ehime,11,1458
2023,Kochi,11,688
2023,Fukuoka,11,10647
2023,Saga,11,1150
2023,Nagasaki,11,1449
2023,Kumamoto,11,2556
2023,Oita,11,1467
2023,Miyazaki,11,1055
2023,Kagoshima,11,1488
2023,Okinawa,11,3706
2023,Hokkaido,10,7341
2023,Aomori,10,902
2023,Iwate,10,880
2023,Miyagi,10,3116
2023,Akita,10,669
2023,Yamagata,10,1057
2023,Fukushima,10,1793
2023,Ibaraki,10,4820
2023,Tochigi,10,2948
2023,Gunma,10,2750
2023,Saitama,10,16488
2023,Chiba,10,15705
2023,Tokyo,10,58269
2023,Kanagawa,10,28614
2023,Niigata,10,2421
2023,Toyama,10,1496
2023,Ishikawa,10,1948
2023,Fukui,10,1079
2023,Yamanashi,10,1559
2023,Nagano,10,3122
2023,Gifu,10,3469
2023,Shizuoka,10,6465
2023,Aichi,10,19171
2023,Mie,10,3313
2023,Shiga,10,3093
2023,Kyoto,10,6735
2023,Osaka,10,24771
2023,Hyogo,10,13255
2023,Nara,10,2962
2023,Wakayama,10,1395
2023,Tottori,10,743
2023,Shimane,10,651
2023,Okayama,10,2937
2023,Hiroshima,10,4563
2023,Yamaguchi,10,1926
2023,Tokushima,10,1062
2023,Kagawa,10,1417
2023,Ehime,10,1625
2023,Kochi,10,723
2023,Fukuoka,10,12803
2023,Saga,10,1380
2023,Nagasaki,10,1852
2023,Kumamoto,10,2903
2023,Oita,10,1698
2023,Miyazaki,10,1353
2023,Kagoshima,10,1677
2023,Okinawa,10,4044
2023,Hokkaido,9,7158
2023,Aomori,9,955
2023,Iwate,9,944
2023,Miyagi,9,3045
2023,Akita,9,644
2023,Yamagata,9,1175
2023,Fukushima,9,1738
2023,Ibaraki,9,4855
2023,Tochigi,9,2877
2023,Gunma,9,2702
2023,Saitama,9,15815
2023,Chiba,9,14858
2023,Tokyo,9,56821
2023,Kanagawa,9,27845
2023,Niigata,9,2254
2023,Toyama,9,1410
