year,month,gender,age,value
2010,10,female,20-29,6588
2010,10,female,30-39,8795
2010,10,female,40-49,8220
2010,10,female,50-59,8161
2010,10,female,60-69,9414
2010,10,female,70-79,7131
2010,10,female,over_80,2663
2010,10,female,under_19,11075
2010,10,male,20-29,6871
2010,10,male,30-39,9107
2010,10,male,40-49,8397
2010,10,male,50-59,8104
2010,10,male,60-69,8871
2010,10,male,70-79,5828
2010,10,male,over_80,1700
2010,10,male,under_19,11641
2010,11,female,20-29,6574
2010,11,female,30-39,8785
2010,11,female,40-49,8232
2010,11,female,50-59,8136
2010,11,female,60-69,9426
2010,11,female,70-79,7142
2010,11,female,over_80,2668
2010,11,female,under_19,11070
2010,11,male,20-29,6857
2010,11,male,30-39,9095
2010,11,male,40-49,8411
2010,11,male,50-59,8080
2010,11,male,60-69,8880
2010,11,male,70-79,5840
2010,11,male,over_80,1705
2010,11,male,under_19,11636
2010,12,female,20-29,6564
2010,12,female,30-39,8770
2010,12,female,40-49,8243
2010,12,female,50-59,8111
2010,12,female,60-69,9433
2010,12,female,70-79,7152
2010,12,female,over_80,2675
2010,12,female,under_19,11066
2010,12,male,20-29,6848
2010,12,male,30-39,9080
2010,12,male,40-49,8423
2010,12,male,50-59,8055
2010,12,male,60-69,8886
2010,12,male,70-79,5849
2010,12,male,over_80,1712
2010,12,male,under_19,11632
2011,1,female,20-29,6564
2011,1,female,30-39,8760
2011,1,female,40-49,8270
2011,1,female,50-59,8092
2011,1,female,60-69,9447
2011,1,female,70-79,7160
2011,1,female,over_80,2672
2011,1,female,under_19,11073
2011,1,male,20-29,6845
2011,1,male,30-39,9067
2011,1,male,40-49,8449
2011,1,male,50-59,8036
2011,1,male,60-69,8904
2011,1,male,70-79,5859
2011,1,male,over_80,1712
2011,1,male,under_19,11637
2011,2,female,20-29,6547
2011,2,female,30-39,8730
2011,2,female,40-49,8270
2011,2,female,50-59,8048
2011,2,female,60-69,9452
2011,2,female,70-79,7178
2011,2,female,over_80,2688
2011,2,female,under_19,11059
2011,2,male,20-29,6829
2011,2,male,30-39,9038
2011,2,male,40-49,8454
2011,2,male,50-59,7998
2011,2,male,60-69,8909
2011,2,male,70-79,5879
2011,2,male,over_80,1724
2011,2,male,under_19,11624
2011,3,female,20-29,6533
2011,3,female,30-39,8707
2011,3,female,40-49,8278
2011,3,female,50-59,8021
2011,3,female,60-69,9455
2011,3,female,70-79,7192
2011,3,female,over_80,2694
2011,3,female,under_19,11053
2011,3,male,20-29,6817
2011,3,male,30-39,9015
2011,3,male,40-49,8459
2011,3,male,50-59,7969
2011,3,male,60-69,8914
2011,3,male,70-79,5896
2011,3,male,over_80,1730
2011,3,male,under_19,11617
2011,4,female,20-29,6521
2011,4,female,30-39,8685
2011,4,female,40-49,8288
2011,4,female,50-59,7999
2011,4,female,60-69,9455
2011,4,female,70-79,7194
2011,4,female,over_80,2702
2011,4,female,under_19,11047
2011,4,male,20-29,6806
2011,4,male,30-39,8992
2011,4,male,40-49,8470
2011,4,male,50-59,7946
2011,4,male,60-69,8915
2011,4,male,70-79,5905
2011,4,male,over_80,1738
2011,4,male,under_19,11610
2011,5,female,20-29,6507
2011,5,female,30-39,8663
2011,5,female,40-49,8299
2011,5,female,50-59,7987
2011,5,female,60-69,9462
2011,5,female,70-79,7207
2011,5,female,over_80,2705
2011,5,female,under_19,11037
2011,5,male,20-29,6791
2011,5,male,30-39,8969
2011,5,male,40-49,8482
2011,5,male,50-59,7935
2011,5,male,60-69,8923
2011,5,male,70-79,5917
2011,5,male,over_80,1741
2011,5,male,under_19,11600
2011,6,female,20-29,6497
2011,6,female,30-39,8645
2011,6,female,40-49,8318
2011,6,female,50-59,7974
2011,6,female,60-69,9469
2011,6,female,70-79,7217
2011,6,female,over_80,2704
2011,6,female,under_19,11030
2011,6,male,20-29,6781
2011,6,male,30-39,8951
2011,6,male,40-49,8499
2011,6,male,50-59,7923
2011,6,male,60-69,8927
2011,6,male,70-79,5926
2011,6,male,over_80,1741
2011,6,male,under_19,11593
2011,7,female,20-29,6487
2011,7,female,30-39,8630
2011,7,female,40-49,8341
2011,7,female,50-59,7963
2011,7,female,60-69,9470
2011,7,female,70-79,7229
2011,7,female,over_80,2707
2011,7,female,under_19,11032
2011,7,male,20-29,6772
2011,7,male,30-39,8932
2011,7,male,40-49,8522
2011,7,male,50-59,7910
2011,7,male,60-69,8930
2011,7,male,70-79,5938
2011,7,male,over_80,1743
2011,7,male,under_19,11592
2011,8,female,20-29,6478
2011,8,female,30-39,8614
2011,8,female,40-49,8368
2011,8,female,50-59,7946
2011,8,female,60-69,9472
2011,8,female,70-79,7246
2011,8,female,over_80,2713
2011,8,female,under_19,11030
2011,8,male,20-29,6762
2011,8,male,30-39,8912
2011,8,male,40-49,8548
2011,8,male,50-59,7896
2011,8,male,60-69,8933
2011,8,male,70-79,5955
2011,8,male,over_80,1748
2011,8,male,under_19,11592
2011,9,female,20-29,6459
2011,9,female,30-39,8588
2011,9,female,40-49,8383
2011,9,female,50-59,7931
2011,9,female,60-69,9470
2011,9,female,70-79,7265
2011,9,female,over_80,2718
2011,9,female,under_19,11013
2011,9,male,20-29,6745
2011,9,male,30-39,8891
2011,9,male,40-49,8569
2011,9,male,50-59,7884
2011,9,male,60-69,8931
2011,9,male,70-79,5973
2011,9,male,over_80,1753
2011,9,male,under_19,11573
2011,10,female,20-29,6443
2011,10,female,30-39,8570
2011,10,female,40-49,8402
2011,10,female,50-59,7920
2011,10,female,60-69,9465
2011,10,female,70-79,7282
2011,10,female,over_80,2723
2011,10,female,under_19,11006
2011,10,male,20-29,6730
2011,10,male,30-39,8873
2011,10,male,40-49,8590
2011,10,male,50-59,7874
2011,10,male,60-69,8927
2011,10,male,70-79,5991
2011,10,male,over_80,1758
2011,10,male,under_19,11569
2011,11,female,20-29,6433
2011,11,female,30-39,8552
2011,11,female,40-49,8422
2011,11,female,50-59,7906
2011,11,female,60-69,9457
2011,11,female,70-79,7301
2011,11,female,over_80,2726
2011,11,female,under_19,10999
2011,11,male,20-29,6720
2011,11,male,30-39,8853
2011,11,male,40-49,8610
2011,11,male,50-59,7859
2011,11,male,60-69,8921
2011,11,male,70-79,6007
2011,11,male,over_80,1761
2011,11,male,under_19,11559
2011,12,female,20-29,6425
2011,12,female,30-39,8531
2011,12,female,40-49,8437
2011,12,female,50-59,7888
2011,12,female,60-69,9450
2011,12,female,70-79,7320
2011,12,female,over_80,2727
2011,12,female,under_19,10992
2011,12,male,20-29,6713
2011,12,male,30-39,8833
2011,12,male,40-49,8629
2011,12,male,50-59,7844
2011,12,male,60-69,8914
2011,12,male,70-79,6024
2011,12,male,over_80,1763
2011,12,male,under_19,11552
2012,1,female,20-29,6426
2012,1,female,30-39,8521
2012,1,female,40-49,8460
2012,1,female,50-59,7879
2012,1,female,60-69,9451
2012,1,female,70-79,7335
2012,1,female,over_80,2728
2012,1,female,under_19,10995
2012,1,male,20-29,6712
2012,1,male,30-39,8818
2012,1,male,40-49,8654
2012,1,male,50-59,7836
2012,1,male,60-69,8917
2012,1,male,70-79,6039
2012,1,male,over_80,1761
2012,1,male,under_19,11553
2012,2,female,20-29,6410
2012,2,female,30-39,8488
2012,2,female,40-49,8459
2012,2,female,50-59,7849
2012,2,female,60-69,9437
2012,2,female,70-79,7362
2012,2,female,over_80,2734
2012,2,female,under_19,10982
2012,2,male,20-29,6699
2012,2,male,30-39,8785
2012,2,male,40-49,8654
2012,2,male,50-59,7808
2012,2,male,60-69,8906
2012,2,male,70-79,6067
2012,2,male,over_80,1770
2012,2,male,under_19,11537
2012,3,female,20-29,6399
2012,3,female,30-39,8462
2012,3,female,40-49,8466
2012,3,female,50-59,7829
2012,3,female,60-69,9435
2012,3,female,70-79,7375
