Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,3.523800,3.533400,3.344600,3.379200,3.379200,0
2014-02-01,3.344300,3.401700,3.326400,3.377100,3.377100,0
2014-03-01,3.358800,3.440800,3.318800,3.381300,3.381300,0
2014-04-01,3.381900,3.440300,3.355900,3.388200,3.388200,0
2014-05-01,3.393000,3.403900,3.344000,3.397500,3.397500,0
2014-06-01,3.397500,3.423400,3.384900,3.401600,3.401600,0
2014-07-01,3.401600,3.432000,3.370000,3.430000,3.430000,0
2014-08-01,3.422400,3.482600,3.380200,3.471600,3.471600,0
2014-09-01,3.470800,3.625200,3.464300,3.590500,3.590500,0
2014-10-01,3.610000,3.673700,3.469000,3.596400,3.596400,0
2014-11-01,3.671500,3.854100,3.665200,3.825900,3.825900,0
2014-12-01,3.827900,3.892300,3.707400,3.765100,3.765100,0
2015-01-01,3.761300,3.831200,3.585200,3.696000,3.696000,0
2015-02-01,3.696000,3.818800,3.680100,3.789400,3.789400,0
2015-03-01,3.789400,3.910300,3.761200,3.836000,3.836000,0
2015-04-01,3.834500,3.986400,3.799600,3.944000,3.944000,0
2015-05-01,3.912000,4.070300,3.840800,4.051100,4.051100,0
2015-06-01,4.032900,4.111400,3.874400,3.996400,3.996400,0
2015-07-01,3.946800,4.095507,3.886300,3.921500,3.921500,0
2015-08-01,3.915200,3.984500,3.602800,3.720900,3.720900,0
2015-09-01,3.729000,3.758800,3.594000,3.638800,3.638800,0
2015-10-01,3.631000,3.841278,3.625100,3.716300,3.716300,0
2015-11-01,3.718700,3.787700,3.692000,3.757400,3.757400,0
2015-12-01,3.768500,3.877900,3.642800,3.663200,3.663200,0
2016-01-01,3.646400,3.651400,3.428600,3.596700,3.596700,0
2016-02-01,3.598600,3.633700,3.348200,3.390800,3.390800,0
2016-03-01,3.376900,3.517200,3.369700,3.483300,3.483300,0
2016-04-01,3.497800,3.500900,3.308900,3.309700,3.309700,0
2016-05-01,3.309700,3.414800,3.273100,3.394000,3.394000,0
2016-06-01,3.388100,3.389500,3.006300,3.189300,3.189300,0
2016-07-01,3.192600,3.357800,3.076400,3.221700,3.221700,0
2016-08-01,3.221800,3.276100,3.135600,3.238700,3.238700,0
2016-09-01,3.262500,3.301000,3.179800,3.223000,3.223000,0
2016-10-01,3.254000,3.338300,3.229700,3.326100,3.326100,0
2016-11-01,3.324600,3.574700,3.266100,3.546300,3.546300,0
2016-12-01,3.579600,3.713000,3.497300,3.598900,3.598900,0
2017-01-01,3.598900,3.671000,3.584900,3.620100,3.620100,0
2017-02-01,3.613300,3.731800,3.599000,3.670100,3.670100,0
