tab_code,表章項目,cat01_code,男女別,cat02_code,人口,cat03_code,年齢5歳階級,area_code,全国,time_code,時間軸（月）,unit,value,annotation
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2015001010,2015年10月,千人,127095,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2015001111,2015年11月,千人,127096,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2015001212,2015年12月,千人,127088,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2016000101,2016年1月,千人,127028,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2016000202,2016年2月,千人,127014,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2016000303,2016年3月,千人,126948,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2016000404,2016年4月,千人,126975,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2016000505,2016年5月,千人,126925,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2016000606,2016年6月,千人,126969,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2016000707,2016年7月,千人,126995,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2016000808,2016年8月,千人,126976,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2016000909,2016年9月,千人,126903,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2016001010,2016年10月,千人,126933,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2016001111,2016年11月,千人,126937,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2016001212,2016年12月,千人,126918,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2017000101,2017年1月,千人,126822,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2017000202,2017年2月,千人,126790,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2017000303,2017年3月,千人,126755,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2017000404,2017年4月,千人,126761,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2017000505,2017年5月,千人,126724,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2017000606,2017年6月,千人,126766,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2017000707,2017年7月,千人,126786,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2017000808,2017年8月,千人,126755,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2017000909,2017年9月,千人,126678,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2017001010,2017年10月,千人,126706,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2017001111,2017年11月,千人,126714,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2017001212,2017年12月,千人,126695,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2018000101,2018年1月,千人,126592,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2018000202,2018年2月,千人,126609,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2018000303,2018年3月,千人,126493,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2018000404,2018年4月,千人,126502,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2018000505,2018年5月,千人,126466,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2018000606,2018年6月,千人,126509,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2018000707,2018年7月,千人,126529,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2018000808,2018年8月,千人,126496,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2018000909,2018年9月,千人,126417,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2018001010,2018年10月,千人,126443,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2018001111,2018年11月,千人,126453,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2018001212,2018年12月,千人,126435,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2019000101,2019年1月,千人,126317,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2019000202,2019年2月,千人,126310,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2019000303,2019年3月,千人,126248,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2019000404,2019年4月,千人,126254,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2019000505,2019年5月,千人,126181,
