RESULT
"STATUS,""0"""
"ERROR_MSG,""正常に終了しました。"""
"DATE,""2024-09-03T14:34:48.415+09:00"""
RESULT_INF
"TOTAL_NUMBER,""5994"""
"FROM_NUMBER,""1"""
"TO_NUMBER,""5994"""
"TABLE_INF,""0003448229"""
"STAT_NAME,""00200524"",""人口推計"""
"GOV_ORG,""00200"",""総務省"""
"STATISTICS_NAME,""人口推計 各年10月1日現在人口 令和２年国勢調査基準 統計表"""
"TITLE,""002"",""年齢（５歳階級），男女，月別人口－総人口，日本人人口"""
"CYCLE,""年次"""
"SURVEY_DATE,""0"""
"OPEN_DATE,""2024-04-12"""
"SMALL_AREA,""0"""
"COLLECT_AREA,""該当なし"""
"MAIN_CATEGORY,""02"",""人口・世帯"""
"SUB_CATEGORY,""01"",""人口"""
"OVERALL_TOTAL_NUMBER,""5994"""
"UPDATED_DATE,""2024-07-20"""
"STATISTICS_NAME_SPEC,""人口推計"",""各年10月1日現在人口"",""令和２年国勢調査基準"",""統計表"","""","""""
"TITLE_SPEC,"""",""年齢（５歳階級），男女，月別人口－総人口，日本人人口"","""","""","""","""""
"NOTE,""***"",""該当数値がないもの"""
"NOTE,""-"",""該当数値がないもの　"""
VALUE
"tab_code,""表章項目"",""cat01_code"",""男女別"",""cat02_code"",""人口"",""cat03_code"",""年齢5歳階級"",""area_code"",""全国"",""time_code"",""時間軸（月）"",""unit"",""value"",""annotation"""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2020001010"",""2020年10月"",""千人"",""126146"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2020001111"",""2020年11月"",""千人"",""126106"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2020001212"",""2020年12月"",""千人"",""126088"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2021000101"",""2021年1月"",""千人"",""126068"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2021000202"",""2021年2月"",""千人"",""125990"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2021000303"",""2021年3月"",""千人"",""125917"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2021000404"",""2021年4月"",""千人"",""125855"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2021000505"",""2021年5月"",""千人"",""125777"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2021000606"",""2021年6月"",""千人"",""125722"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2021000707"",""2021年7月"",""千人"",""125682"","""""
