RESULT
"STATUS,""0"""
"ERROR_MSG,""正常に終了しました。"""
"DATE,""2024-09-03T14:34:47.616+09:00"""
RESULT_INF
"TOTAL_NUMBER,""8856"""
"FROM_NUMBER,""1"""
"TO_NUMBER,""8856"""
"TABLE_INF,""0004008041"""
"STAT_NAME,""00200524"",""人口推計"""
"GOV_ORG,""00200"",""総務省"""
"STATISTICS_NAME,""人口推計 各年10月1日現在人口 平成22年国勢調査基準 統計表"""
"TITLE,""002"",""年齢（５歳階級），男女，月別人口－総人口，日本人人口"""
"CYCLE,""年次"""
"SURVEY_DATE,""0"""
"OPEN_DATE,""2023-08-10"""
"SMALL_AREA,""0"""
"COLLECT_AREA,""該当なし"""
"MAIN_CATEGORY,""02"",""人口・世帯"""
"SUB_CATEGORY,""01"",""人口"""
"OVERALL_TOTAL_NUMBER,""8856"""
"UPDATED_DATE,""2024-07-20"""
"STATISTICS_NAME_SPEC,""人口推計"",""各年10月1日現在人口"",""平成22年国勢調査基準"",""統計表"","""","""""
"TITLE_SPEC,"""",""年齢（５歳階級），男女，月別人口－総人口，日本人人口"","""","""","""","""""
"NOTE,""***"",""該当数値がないもの"""
"NOTE,""-"",""該当数値がないもの　"""
VALUE
"tab_code,""表章項目"",""cat01_code"",""男女別"",""cat02_code"",""人口"",""cat03_code"",""年齢5歳階級"",""area_code"",""全国"",""time_code"",""時間軸（月）"",""unit"",""value"",""annotation"""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2010001010"",""2010年10月"",""千人"",""128057"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2010001111"",""2010年11月"",""千人"",""128063"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2010001212"",""2010年12月"",""千人"",""128052"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2011000101"",""2011年1月"",""千人"",""128020"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2011000202"",""2011年2月"",""千人"",""127982"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2011000303"",""2011年3月"",""千人"",""127930"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2011000404"",""2011年4月"",""千人"",""127708"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2011000505"",""2011年5月"",""千人"",""127743"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2011000606"",""2011年6月"",""千人"",""127799"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2011000707"",""2011年7月"",""千人"",""127817"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2011000808"",""2011年8月"",""千人"",""127816"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2011000909"",""2011年9月"",""千人"",""127769"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2011001010"",""2011年10月"",""千人"",""127799"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2011001111"",""2011年11月"",""千人"",""127800"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2011001212"",""2011年12月"",""千人"",""127787"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2012000101"",""2012年1月"",""千人"",""127662"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2012000202"",""2012年2月"",""千人"",""127627"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2012000303"",""2012年3月"",""千人"",""127575"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2012000404"",""2012年4月"",""千人"",""127567"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2012000505"",""2012年5月"",""千人"",""127522"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2012000606"",""2012年6月"",""千人"",""127547"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2012000707"",""2012年7月"",""千人"",""127561"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2012000808"",""2012年8月"",""千人"",""127554"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2012000909"",""2012年9月"",""千人"",""127487"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2012001010"",""2012年10月"",""千人"",""127515"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2012001111"",""2012年11月"",""千人"",""127512"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2012001212"",""2012年12月"",""千人"",""127492"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2013000101"",""2013年1月"",""千人"",""127445"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2013000202"",""2013年2月"",""千人"",""127412"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2013000303"",""2013年3月"",""千人"",""127337"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2013000404"",""2013年4月"",""千人"",""127354"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2013000505"",""2013年5月"",""千人"",""127310"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2013000606"",""2013年6月"",""千人"",""127325"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2013000707"",""2013年7月"",""千人"",""127339"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2013000808"",""2013年8月"",""千人"",""127336"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2013000909"",""2013年9月"",""千人"",""127263"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2013001010"",""2013年10月"",""千人"",""127298"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2013001111"",""2013年11月"",""千人"",""127295"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2013001212"",""2013年12月"",""千人"",""127277"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2014000101"",""2014年1月"",""千人"",""127235"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2014000202"",""2014年2月"",""千人"",""127187"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2014000303"",""2014年3月"",""千人"",""127136"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2014000404"",""2014年4月"",""千人"",""127136"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2014000505"",""2014年5月"",""千人"",""127098"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2014000606"",""2014年6月"",""千人"",""127113"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2014000707"",""2014年7月"",""千人"",""127132"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2014000808"",""2014年8月"",""千人"",""127122"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2014000909"",""2014年9月"",""千人"",""127046"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2014001010"",""2014年10月"",""千人"",""127083"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2014001111"",""2014年11月"",""千人"",""127082"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2014001212"",""2014年12月"",""千人"",""127064"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2015000101"",""2015年1月"",""千人"",""127016"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2015000202"",""2015年2月"",""千人"",""126991"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2015000303"",""2015年3月"",""千人"",""126896"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2015000404"",""2015年4月"",""千人"",""126939"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2015000505"",""2015年5月"",""千人"",""126904"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2015000606"",""2015年6月"",""千人"",""126929"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2015000707"",""2015年7月"",""千人"",""126958"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2015000808"",""2015年8月"",""千人"",""126942"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01000"",""総数"",""00000"",""全国"",""2015000909"",""2015年9月"",""千人"",""126876"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01001"",""0～4歳"",""00000"",""全国"",""2010001010"",""2010年10月"",""千人"",""5308"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01001"",""0～4歳"",""00000"",""全国"",""2010001111"",""2010年11月"",""千人"",""5311"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01001"",""0～4歳"",""00000"",""全国"",""2010001212"",""2010年12月"",""千人"",""5316"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01001"",""0～4歳"",""00000"",""全国"",""2011000101"",""2011年1月"",""千人"",""5322"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01001"",""0～4歳"",""00000"",""全国"",""2011000202"",""2011年2月"",""千人"",""5320"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01001"",""0～4歳"",""00000"",""全国"",""2011000303"",""2011年3月"",""千人"",""5316"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01001"",""0～4歳"",""00000"",""全国"",""2011000404"",""2011年4月"",""千人"",""5300"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01001"",""0～4歳"",""00000"",""全国"",""2011000505"",""2011年5月"",""千人"",""5299"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01001"",""0～4歳"",""00000"",""全国"",""2011000606"",""2011年6月"",""千人"",""5299"","""""
"001,""人口"",""000"",""男女計"",""001"",""総人口"",""01001"",""0～4歳"",""00000"",""全国"",""2011000707"",""2011年7月"",""千人"",""5300"","""""
