day,campaign,adgroup,impressions,clicks,cost
2024-07-01,engagement_campaign,ad_group_f,31010,1524,874.34
2024-07-02,engagement_campaign,ad_group_f,4173,289,940.37
2024-07-03,engagement_campaign,ad_group_f,87203,1754,513.23
2024-07-04,engagement_campaign,ad_group_e,59793,4171,891.33
2024-07-05,engagement_campaign,ad_group_f,48580,2497,492.26
2024-07-06,engagement_campaign,ad_group_e,33587,3318,376.75
2024-07-07,engagement_campaign,ad_group_f,4772,176,376.97
2024-07-08,engagement_campaign,ad_group_f,72153,5068,769.95
2024-07-09,engagement_campaign,ad_group_f,40184,1589,545.1
2024-07-10,engagement_campaign,ad_group_e,19587,365,542.66
2024-07-11,engagement_campaign,ad_group_f,80268,2462,822.58
2024-07-12,engagement_campaign,ad_group_f,29962,1199,915.23
2024-07-13,engagement_campaign,ad_group_f,92273,8057,154.95
2024-07-14,engagement_campaign,ad_group_f,49967,972,931.98
2024-07-15,engagement_campaign,ad_group_e,55197,5497,555.72
2024-07-16,engagement_campaign,ad_group_f,69580,6432,595.12
2024-07-17,engagement_campaign,ad_group_e,67392,6372,264.76
2024-07-18,engagement_campaign,ad_group_e,35219,2055,425.37
2024-07-19,engagement_campaign,ad_group_e,54843,3253,172.86
2024-07-20,engagement_campaign,ad_group_e,11439,585,151.78
2024-07-21,engagement_campaign,ad_group_e,8209,295,142.3
2024-07-22,engagement_campaign,ad_group_e,27177,1830,818.42
2024-07-23,engagement_campaign,ad_group_f,97764,3779,882.43
2024-07-24,engagement_campaign,ad_group_e,89661,91,690.21
2024-07-25,engagement_campaign,ad_group_f,86393,5480,675.17
2024-07-26,engagement_campaign,ad_group_f,13845,186,488.72
2024-07-27,engagement_campaign,ad_group_f,53794,2118,793.84
2024-07-28,engagement_campaign,ad_group_f,84927,2833,425.98
2024-07-29,engagement_campaign,ad_group_e,60203,2006,946.17
2024-07-30,engagement_campaign,ad_group_f,3126,243,450.91
2024-07-31,engagement_campaign,ad_group_e,73853,7105,573.5
2024-08-01,engagement_campaign,ad_group_e,13083,422,817.17
2024-08-02,engagement_campaign,ad_group_f,52676,1925,36.03
2024-08-03,engagement_campaign,ad_group_f,64791,6472,168.98
2024-08-04,engagement_campaign,ad_group_e,46760,747,54.78
2024-08-05,engagement_campaign,ad_group_f,85369,6243,596.63
2024-08-06,engagement_campaign,ad_group_f,24822,1482,670.56
2024-08-07,engagement_campaign,ad_group_f,40416,2551,41.99
2024-08-08,engagement_campaign,ad_group_f,21228,1794,536.08
2024-08-09,engagement_campaign,ad_group_f,86260,6199,456.61
2024-08-10,engagement_campaign,ad_group_f,70132,3131,644.75
2024-08-11,engagement_campaign,ad_group_f,19118,698,914.88
2024-08-12,engagement_campaign,ad_group_f,56522,3852,942.22
2024-08-13,engagement_campaign,ad_group_f,74031,1664,821.38
2024-08-14,engagement_campaign,ad_group_f,52385,2076,373.75
2024-08-15,engagement_campaign,ad_group_f,24910,1027,801.77
2024-08-16,engagement_campaign,ad_group_f,43513,3856,552.94
2024-08-17,engagement_campaign,ad_group_f,11143,1001,282.01
2024-08-18,engagement_campaign,ad_group_f,80203,3732,754.47
2024-08-19,engagement_campaign,ad_group_e,48881,3585,397.51
2024-08-20,engagement_campaign,ad_group_e,72656,6191,119.06
2024-08-21,engagement_campaign,ad_group_f,67142,1038,197.74
2024-08-22,engagement_campaign,ad_group_e,71532,4541,912.04
2024-08-23,engagement_campaign,ad_group_e,10769,359,235.26
2024-08-24,engagement_campaign,ad_group_e,31456,92,102.61
2024-08-25,engagement_campaign,ad_group_e,21718,454,265.47
