day,campaign,adgroup,impressions,clicks,cost
2024-07-01,search_campaign,ad_group_a,27797,1920,497.15
2024-07-02,search_campaign,ad_group_a,9854,598,602.63
2024-07-03,search_campaign,ad_group_b,27897,823,424.54
2024-07-04,search_campaign,ad_group_b,6408,187,536.16
2024-07-05,search_campaign,ad_group_a,65514,4086,160.55
2024-07-06,search_campaign,ad_group_b,6545,61,588.69
2024-07-07,search_campaign,ad_group_a,65779,2928,853.72
2024-07-08,search_campaign,ad_group_a,66130,1214,314.91
2024-07-09,search_campaign,ad_group_a,72955,5281,260.08
2024-07-10,search_campaign,ad_group_b,83665,6412,636.79
2024-07-11,search_campaign,ad_group_a,61943,1966,478.15
2024-07-12,search_campaign,ad_group_b,37155,1996,672.78
2024-07-13,search_campaign,ad_group_b,67403,889,237.75
2024-07-14,search_campaign,ad_group_b,98448,9841,653.02
2024-07-15,search_campaign,ad_group_b,83527,964,651.32
2024-07-16,search_campaign,ad_group_a,86416,8246,256.47
2024-07-17,search_campaign,ad_group_b,59760,4916,146.81
2024-07-18,search_campaign,ad_group_b,4503,155,256.37
2024-07-19,search_campaign,ad_group_b,23429,1563,770.03
2024-07-20,search_campaign,ad_group_a,7166,512,726.37
2024-07-21,search_campaign,ad_group_b,57567,2584,641.78
2024-07-22,search_campaign,ad_group_a,9876,465,605.37
2024-07-23,search_campaign,ad_group_b,83631,2057,337.7
2024-07-24,search_campaign,ad_group_b,62093,5287,792.32
2024-07-25,search_campaign,ad_group_a,4297,394,704.4
2024-07-26,search_campaign,ad_group_b,21354,835,268.23
2024-07-27,search_campaign,ad_group_a,83379,7184,726.84
2024-07-28,search_campaign,ad_group_a,4449,352,964.13
2024-07-29,search_campaign,ad_group_b,99317,9405,177.45
2024-07-30,search_campaign,ad_group_b,45910,3935,555.25
2024-07-31,search_campaign,ad_group_b,4851,260,668.58
2024-08-01,search_campaign,ad_group_a,20482,1370,220.26
2024-08-02,search_campaign,ad_group_b,70178,817,426.33
2024-08-03,search_campaign,ad_group_a,43504,480,743.51
2024-08-04,search_campaign,ad_group_a,13167,1159,902.15
2024-08-05,search_campaign,ad_group_b,40997,375,780.4
2024-08-06,search_campaign,ad_group_b,30633,2936,539.04
2024-08-07,search_campaign,ad_group_a,68873,2075,650.07
2024-08-08,search_campaign,ad_group_a,34693,3010,913.25
2024-08-09,search_campaign,ad_group_b,7393,104,202.57
2024-08-10,search_campaign,ad_group_a,80516,3924,345.74
2024-08-11,search_campaign,ad_group_b,34927,383,562.04
2024-08-12,search_campaign,ad_group_b,64694,462,430.81
2024-08-13,search_campaign,ad_group_a,39246,2306,137.04
2024-08-14,search_campaign,ad_group_b,67659,6052,878.28
2024-08-15,search_campaign,ad_group_b,60578,4861,223.72
2024-08-16,search_campaign,ad_group_b,60095,500,284.96
2024-08-17,search_campaign,ad_group_b,33113,1587,694.91
2024-08-18,search_campaign,ad_group_a,23173,1959,274.71
2024-08-19,search_campaign,ad_group_b,8732,488,177.98
2024-08-20,search_campaign,ad_group_b,54112,2069,297.5
2024-08-21,search_campaign,ad_group_a,75140,3382,439.2
2024-08-22,search_campaign,ad_group_b,49290,1239,911.65
2024-08-23,search_campaign,ad_group_b,71192,6455,521.15
2024-08-24,search_campaign,ad_group_b,50977,4620,371.32
2024-08-25,search_campaign,ad_group_b,42378,4156,271.08
2024-08-26,search_campaign,ad_group_a,71858,6421,289.9
2024-08-27,search_campaign,ad_group_a,47782,4678,99.8
2024-08-28,search_campaign,ad_group_b,65145,4131,655.78
2024-08-29,search_campaign,ad_group_b,85235,4699,649.26
2024-08-30,search_campaign,ad_group_b,9525,197,802.65
2024-08-31,search_campaign,ad_group_b,36342,1672,260.44
2024-09-01,search_campaign,ad_group_b,33149,1745,61.78
2024-09-02,search_campaign,ad_group_b,15344,453,804.68
2024-09-03,search_campaign,ad_group_b,28442,2289,988.26
2024-09-04,search_campaign,ad_group_a,16719,1113,786.42
2024-09-05,search_campaign,ad_group_a,82850,5602,670.57
2024-09-06,search_campaign,ad_group_b,15723,439,451.42
2024-09-07,search_campaign,ad_group_b,24472,1969,137.88
2024-09-08,search_campaign,ad_group_a,71286,2109,962.01
2024-09-09,search_campaign,ad_group_b,43874,2185,775.59
2024-09-10,search_campaign,ad_group_a,6979,478,948.22
2024-09-11,search_campaign,ad_group_a,39259,326,330.8
2024-09-12,search_campaign,ad_group_a,60329,962,962.79
2024-09-13,search_campaign,ad_group_b,80412,1300,408.44
2024-09-14,search_campaign,ad_group_b,86941,5266,799.12
2024-09-15,search_campaign,ad_group_a,73539,6361,171.43
2024-09-16,search_campaign,ad_group_b,63177,3672,829.84
2024-09-17,search_campaign,ad_group_a,44597,4253,109.74
2024-09-18,search_campaign,ad_group_b,7944,158,96.68
2024-09-19,search_campaign,ad_group_a,69025,5879,454.23
2024-09-20,search_campaign,ad_group_a,42959,3212,671.78
2024-09-21,search_campaign,ad_group_a,66109,4841,761.39
2024-09-22,search_campaign,ad_group_b,67113,4601,756.26
2024-09-23,search_campaign,ad_group_a,46611,1120,302.15
2024-09-24,search_campaign,ad_group_a,84483,2540,798.53
2024-09-25,search_campaign,ad_group_a,85209,1360,394.95
2024-09-26,search_campaign,ad_group_b,17337,395,167.79
2024-09-27,search_campaign,ad_group_a,24543,379,14.84
2024-09-28,search_campaign,ad_group_b,35121,2306,165.3
2024-09-29,search_campaign,ad_group_b,54667,1731,279.57
2024-09-30,search_campaign,ad_group_a,71803,3231,664.7
