day,campaign,adgroup,impressions,clicks,cost
2024-07-01,retargeting_campaign,ad_group_h,68081,5812,637.19
2024-07-02,retargeting_campaign,ad_group_g,14443,651,98.68
2024-07-03,retargeting_campaign,ad_group_g,3971,317,202.1
2024-07-04,retargeting_campaign,ad_group_h,49037,1371,753.11
2024-07-05,retargeting_campaign,ad_group_g,41166,3419,136.45
2024-07-06,retargeting_campaign,ad_group_h,85906,2911,97.17
2024-07-07,retargeting_campaign,ad_group_h,52531,2029,877.37
2024-07-08,retargeting_campaign,ad_group_g,11813,728,883.64
2024-07-09,retargeting_campaign,ad_group_g,24449,2125,166.46
2024-07-10,retargeting_campaign,ad_group_h,21241,463,994.09
2024-07-11,retargeting_campaign,ad_group_h,44086,1849,715.78
2024-07-12,retargeting_campaign,ad_group_g,97380,1963,690.49
2024-07-13,retargeting_campaign,ad_group_g,60619,3469,283.18
2024-07-14,retargeting_campaign,ad_group_g,17535,546,646.37
2024-07-15,retargeting_campaign,ad_group_g,60397,2337,64.41
2024-07-16,retargeting_campaign,ad_group_h,39024,1527,145.01
2024-07-17,retargeting_campaign,ad_group_g,25963,1579,317.38
2024-07-18,retargeting_campaign,ad_group_h,5607,53,625.9
2024-07-19,retargeting_campaign,ad_group_h,16456,730,640.67
2024-07-20,retargeting_campaign,ad_group_g,98720,3603,24.58
2024-07-21,retargeting_campaign,ad_group_g,20221,1640,220.23
2024-07-22,retargeting_campaign,ad_group_g,63989,3653,676.31
2024-07-23,retargeting_campaign,ad_group_h,47682,1395,265.54
2024-07-24,retargeting_campaign,ad_group_h,69697,3495,333.29
2024-07-25,retargeting_campaign,ad_group_h,57984,777,549.09
2024-07-26,retargeting_campaign,ad_group_g,78274,1650,327.02
2024-07-27,retargeting_campaign,ad_group_h,15785,1088,265.73
2024-07-28,retargeting_campaign,ad_group_h,44803,2560,843.43
2024-07-29,retargeting_campaign,ad_group_h,34285,463,703.91
2024-07-30,retargeting_campaign,ad_group_h,4746,464,877.96
2024-07-31,retargeting_campaign,ad_group_h,13962,1088,138.02
2024-08-01,retargeting_campaign,ad_group_g,33462,949,807.78
2024-08-02,retargeting_campaign,ad_group_g,2176,188,148.04
2024-08-03,retargeting_campaign,ad_group_g,20711,981,227.13
2024-08-04,retargeting_campaign,ad_group_g,56742,2734,564.16
2024-08-05,retargeting_campaign,ad_group_g,5248,523,774.99
2024-08-06,retargeting_campaign,ad_group_h,55858,683,352.52
2024-08-07,retargeting_campaign,ad_group_g,42892,1037,641.57
2024-08-08,retargeting_campaign,ad_group_h,46306,2457,746.33
2024-08-09,retargeting_campaign,ad_group_h,61823,960,215.93
2024-08-10,retargeting_campaign,ad_group_h,32781,1758,351.05
2024-08-11,retargeting_campaign,ad_group_h,69938,6404,638.74
2024-08-12,retargeting_campaign,ad_group_g,34172,2058,565.24
2024-08-13,retargeting_campaign,ad_group_g,98722,6860,428.5
2024-08-14,retargeting_campaign,ad_group_h,84691,950,134.93
2024-08-15,retargeting_campaign,ad_group_h,45919,4269,960.14
2024-08-16,retargeting_campaign,ad_group_h,25130,263,619.51
2024-08-17,retargeting_campaign,ad_group_h,86866,2050,909.19
2024-08-18,retargeting_campaign,ad_group_h,97074,6325,755.19
2024-08-19,retargeting_campaign,ad_group_h,87267,8008,500.2
2024-08-20,retargeting_campaign,ad_group_g,99537,6337,721.34
2024-08-21,retargeting_campaign,ad_group_h,58568,3311,320.25
2024-08-22,retargeting_campaign,ad_group_h,33772,1168,892.34
2024-08-23,retargeting_campaign,ad_group_g,14243,456,512.88
2024-08-24,retargeting_campaign,ad_group_g,53875,2270,348.37
2024-08-25,retargeting_campaign,ad_group_g,21260,502,167.68
2024-08-26,retargeting_campaign,ad_group_g,49722,4759,920.99
2024-08-27,retargeting_campaign,ad_group_h,76084,995,793.25
2024-08-28,retargeting_campaign,ad_group_h,84199,267,725.22
2024-08-29,retargeting_campaign,ad_group_h,36735,3097,362.87
2024-08-30,retargeting_campaign,ad_group_g,47317,4584,456.73
2024-08-31,retargeting_campaign,ad_group_g,83992,1352,143.44
